TIME,gdp,invest,importx,export,int_r,consump,year,h_work
1996-04-01,383862.9,75221.8,66564.3,82750.1,9.103333,293201.6,1996,2067501.6989361702
1996-01-01,370716.6,70779.9,69813.9,78943.9,9.95,289459.0,1996,2067501.6989361702
1996-10-01,390420.0,73909.5,68544.2,81280.9,7.56,295866.3,1996,2067501.6989361702
1996-07-01,373369.1,68346.3,62623.4,79576.1,8.666667,292497.8,1996,2067501.6989361702
1997-01-01,367123.9,69276.8,69187.0,77467.6,7.34,291904.0,1997,2070794.8542553193
1997-04-01,391095.1,75863.7,75673.2,87736.5,6.946667,301429.1,1997,2070794.8542553193
1997-10-01,406992.6,79403.2,77836.9,86902.0,6.406667,306786.8,1997,2070794.8542553193
1997-07-01,380944.9,69394.9,72644.8,86685.7,6.81,302594.5,1997,2070794.8542553193
1998-04-01,399566.4,79180.8,82268.7,91674.8,5.153333,309716.7,1998,2114441.1468085106
1998-01-01,379826.4,73519.6,80853.7,83894.3,5.946667,303314.0,1998,2114441.1468085106
1998-10-01,406242.2,80913.9,82457.3,84645.3,3.953333,315509.8,1998,2114441.1468085106
1998-07-01,388515.6,72225.4,76448.5,87704.8,4.913333,310282.3,1998,2114441.1468085106
1999-01-01,382295.6,76305.5,82850.4,79092.5,3.090733,310208.8,1999,2137485.135106383
1999-04-01,403280.5,82761.7,84781.4,87724.5,2.634067,316080.3,1999,2137485.135106383
1999-10-01,420628.1,84702.1,88633.5,90830.7,3.4298,324309.8,1999,2137485.135106383
1999-07-01,393535.7,75404.9,80237.4,86867.9,2.6994,317766.2,1999,2137485.135106383
2000-04-01,418439.7,88724.5,94509.0,97488.4,4.263,324918.8,2000,2162030.0882978723
2000-01-01,400320.2,83824.3,91243.7,91041.4,3.5423,318749.4,2000,2162030.0882978723
2000-10-01,434306.8,88161.8,96990.3,99492.6,5.024167,333761.4,2000,2162030.0882978723
2000-07-01,407252.4,80196.9,90744.0,98126.7,4.7376,326718.9,2000,2162030.0882978723
2001-01-01,414660.8,86767.6,97607.6,97010.2,4.745033,328138.6,2001,2186484.8329787236
2001-04-01,429103.7,91518.7,99354.3,104420.4,4.590766,331361.8,2001,2186484.8329787236
2001-10-01,435492.4,90726.4,94983.4,97090.1,3.4435,337121.1,2001,2186484.8329787236
2001-07-01,413460.5,81005.6,90621.1,97556.8,4.267833,330293.8,2001,2186484.8329787236
2002-04-01,429648.5,91970.2,97887.4,99271.0,3.446,332160.9,2002,2210853.178723404
2002-01-01,409704.5,88904.8,95459.2,90571.8,3.362233,327285.6,2002,2210853.178723404
2002-10-01,439565.4,97438.3,99994.7,98218.0,3.1088,337829.2,2002,2210853.178723404
2002-07-01,418096.3,85199.0,91378.0,96908.4,3.357333,333419.7,2002,2210853.178723404
2003-01-01,411858.0,88719.3,98865.2,90924.1,2.6831,329797.9,2003,2231468.015957447
2003-04-01,428668.9,93345.3,98108.9,94814.9,2.3619,335945.7,2003,2231468.015957447
2003-10-01,440913.2,94209.7,98034.1,97442.5,2.149633,339562.1,2003,2231468.015957447
2003-07-01,417926.7,84966.9,92557.4,96789.2,2.139233,336676.9,2003,2231468.015957447
2004-04-01,436688.8,95831.4,103177.5,104570.3,2.082467,338778.5,2004,2243862.5968085104
2004-01-01,416399.7,90110.2,100351.6,93838.5,2.062933,333157.4,2004,2243862.5968085104
2004-10-01,445235.3,95307.2,103804.8,102071.3,2.1636,342990.9,2004,2243862.5968085104
2004-07-01,425233.9,85832.8,97955.5,102781.4,2.1163,339004.3,2004,2243862.5968085104
